epoch,accuracy,val_accuracy,loss,val_loss
1,0.9036924839019775,0.9638968706130981,0.3339371681213379,0.17121431231498718
2,0.9357612729072571,0.9621776342391968,0.2609587013721466,0.1751108318567276
3,0.943753182888031,0.9627507328987122,0.23449765145778656,0.188428595662117
4,0.9457764029502869,0.9713466763496399,0.21921682357788086,0.17542196810245514
5,0.9524531960487366,0.9724928140640259,0.2072552591562271,0.16668471693992615
6,0.9508345723152161,0.9684813618659973,0.20842671394348145,0.16823843121528625
7,0.9544764757156372,0.9707736372947693,0.19876180589199066,0.17046140134334564
8,0.9541729688644409,0.9667621850967407,0.19781504571437836,0.16669559478759766
9,0.9555892944335938,0.9684813618659973,0.18884454667568207,0.16617131233215332
10,0.9577137231826782,0.9690544605255127,0.18405704200267792,0.16422758996486664
11,0.8818411827087402,0.9501432776451111,0.3989061117172241,0.205035999417305
12,0.9115831851959229,0.9518624544143677,0.3137845993041992,0.1980762928724289
13,0.9245321154594421,0.9587392807006836,0.27588343620300293,0.18906353414058685
14,0.9300960898399353,0.9610314965248108,0.2666345238685608,0.18319493532180786
15,0.9376833438873291,0.9616045951843262,0.2538066804409027,0.17973099648952484
16,0.9414263963699341,0.9650430083274841,0.23766839504241943,0.17579622566699982
17,0.943753182888031,0.9661890864372253,0.22944627702236176,0.17429523169994354
18,0.9472938776016235,0.9679083228111267,0.2274898886680603,0.17148001492023468
19,0.9436519742012024,0.9679083228111267,0.22876949608325958,0.17174740135669708
20,0.9483054876327515,0.9661890864372253,0.21766792237758636,0.16899695992469788
21,0.949418306350708,0.9684813618659973,0.21333037316799164,0.16755349934101105
22,0.954577624797821,0.9684813618659973,0.20653024315834045,0.16654656827449799
23,0.9539706707000732,0.9679083228111267,0.20020288228988647,0.16572444140911102
24,0.9557915925979614,0.9679083228111267,0.19431865215301514,0.1648361086845398
25,0.9532625079154968,0.9690544605255127,0.2017609179019928,0.16436630487442017
26,0.9560950994491577,0.9684813618659973,0.19017396867275238,0.16437511146068573
27,0.9549822807312012,0.9684813618659973,0.19536319375038147,0.16282771527767181
28,0.9575113654136658,0.9684813618659973,0.1890156865119934,0.16152195632457733
29,0.9582195281982422,0.9684813618659973,0.19202673435211182,0.16302819550037384
30,0.9603439569473267,0.9679083228111267,0.181382417678833,0.16246215999126434
